Line list produced by PGOPHER 11.0.138 10 Dec 2020 18:41  64 bit (fpc 3.3.1 x86_64-Darwin),11000138
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,49,e,1,Ground,50,e,1,564.956709724707,0.0000509499893250106,4315.66238792506,3750.70567820035,16.3333333333333,27.9903660962753,0,P(50),Excited v=1 49 e - Ground v=0 50 e
LinearMolecule,Excited,48,e,1,Ground,49,e,1,567.861328054767,0.0000649416928899587,4172.18457488396,3604.3232468292,16,28.4183307852971,0,P(49),Excited v=1 48 e - Ground v=0 49 e
LinearMolecule,Excited,47,e,1,Ground,48,e,1,570.768098569356,0.0000823135489723215,4031.58095038138,3460.81285181202,15.6666666666667,28.8506437249208,0,P(48),Excited v=1 47 e - Ground v=0 48 e
LinearMolecule,Excited,46,e,1,Ground,47,e,1,573.676984542429,0.000103747235380203,3893.8548301671,3320.17784562467,15.3333333333333,29.2873005352621,0,P(47),Excited v=1 46 e - Ground v=0 47 e
LinearMolecule,Excited,45,e,1,Ground,46,e,1,576.587948851658,0.000130025344045901,3759.00946300993,3182.42151415827,15,29.7282938548725,0,P(46),Excited v=1 45 e - Ground v=0 46 e
LinearMolecule,Excited,44,e,1,Ground,45,e,1,579.500953959371,0.000162036935708866,3627.04803056523,3047.54707660586,14.6666666666667,30.173613017113,0,P(45),Excited v=1 44 e - Ground v=0 45 e
LinearMolecule,Excited,43,e,1,Ground,44,e,1,582.415961893947,0.00020078082585514,3497.97364724525,2915.5576853513,14.3333333333333,30.6232436830041,0,P(44),Excited v=1 43 e - Ground v=0 44 e
LinearMolecule,Excited,42,e,1,Ground,43,e,1,585.332934231674,0.000247365816848717,3371.78936009238,2786.45642586071,14,31.0771674234187,0,P(43),Excited v=1 42 e - Ground v=0 43 e
LinearMolecule,Excited,41,e,1,Ground,42,e,1,588.251832079055,0.000303007016784817,3248.4981486551,2660.24631657605,13.6666666666667,31.5353612420991,0,P(42),Excited v=1 41 e - Ground v=0 42 e
LinearMolecule,Excited,40,e,1,Ground,41,e,1,591.172616055571,0.000369017336788718,3128.10292486684,2536.93030881127,13.3333333333333,31.9977970293018,0,P(41),Excited v=1 40 e - Ground v=0 41 e
LinearMolecule,Excited,39,e,1,Ground,40,e,1,594.095246276906,0.000446793245237137,3010.60653292757,2416.51128665066,13,32.4644409338083,0,P(40),Excited v=1 39 e - Ground v=0 40 e
LinearMolecule,Excited,38,e,1,Ground,39,e,1,597.01968233862,0.000537793890030869,2896.01174918833,2298.99206684971,12.6666666666667,32.9352526384902,0,P(39),Excited v=1 38 e - Ground v=0 39 e
LinearMolecule,Excited,37,e,1,Ground,38,e,1,599.945883300278,0.000643512788677864,2784.32128203844,2184.37539873816,12.3333333333333,33.410184521456,0,P(38),Excited v=1 37 e - Ground v=0 38 e
LinearMolecule,Excited,36,e,1,Ground,37,e,1,602.873807670047,0.000765441439591462,2675.53777179564,2072.66396412559,12,33.8891806808732,0,P(37),Excited v=1 36 e - Ground v=0 37 e
LinearMolecule,Excited,35,e,1,Ground,36,e,1,605.803413389729,0.000905024433752278,2569.66379059897,1963.86037720925,11.6666666666667,34.3721757966103,0,P(36),Excited v=1 35 e - Ground v=0 36 e
LinearMolecule,Excited,34,e,1,Ground,35,e,1,608.734657820267,0.00106360594786655,2466.70184230455,1857.96718448428,11.3333333333333,34.8590937956317,0,P(35),Excited v=1 34 e - Ground v=0 35 e
LinearMolecule,Excited,33,e,1,Ground,34,e,1,611.667497727696,0.00124236787857263,2366.65436238406,1754.98686465636,11,35.3498462801658,0,P(34),Excited v=1 33 e - Ground v=0 34 e
LinearMolecule,Excited,32,e,1,Ground,33,e,1,614.601889269558,0.00144226032740353,2269.52371782616,1654.9218285566,10.6666666666667,35.8443306675891,0,P(33),Excited v=1 32 e - Ground v=0 33 e
LinearMolecule,Excited,31,e,1,Ground,32,e,1,617.537787981763,0.00166392565772426,2175.31220704065,1557.77441905889,10.3333333333333,36.342427977996,0,P(32),Excited v=1 31 e - Ground v=0 32 e
LinearMolecule,Excited,30,e,1,Ground,31,e,1,620.475148765918,0.00190761790112319,2084.0220597655,1463.54691099959,10,36.8440001886322,0,P(31),Excited v=1 30 e - Ground v=0 31 e
LinearMolecule,Excited,29,e,1,Ground,30,e,1,623.413925877097,0.00217311986873391,1995.65543697665,1372.24151109955,9.66666666666666,37.3488870524474,0,P(30),Excited v=1 29 e - Ground v=0 30 e
LinearMolecule,Excited,28,e,1,Ground,29,e,1,626.354072912082,0.0024596608935366,1910.21443080063,1283.86035788855,9.33333333333333,37.8569022491842,0,P(29),Excited v=1 28 e - Ground v=0 29 e
LinearMolecule,Excited,27,e,1,Ground,28,e,1,629.295542798049,0.00276583865830805,1827.70106443007,1198.40552163202,9,38.3678286991394,0,P(28),Excited v=1 27 e - Ground v=0 28 e
LinearMolecule,Excited,26,e,1,Ground,27,e,1,632.238287781711,0.00308954901199799,1748.11729204192,1115.87900426021,8.66666666666667,38.8814128184536,0,P(27),Excited v=1 26 e - Ground v=0 27 e
LinearMolecule,Excited,25,e,1,Ground,26,e,1,635.182259418926,0.00342792800422165,1671.46499871861,1036.28273929968,8.33333333333333,39.3973574254038,0,P(26),Excited v=1 25 e - Ground v=0 26 e
LinearMolecule,Excited,24,e,1,Ground,25,e,1,638.127408564747,0.00377731053288104,1597.74600037187,959.618591807123,8,39.9153129123111,0,P(25),Excited v=1 24 e - Ground v=0 25 e
LinearMolecule,Excited,23,e,1,Ground,24,e,1,641.073685363937,0.00413320996639624,1526.96204366956,885.888358305618,7.66666666666666,40.4348661664713,0,P(24),Excited v=1 23 e - Ground v=0 24 e
LinearMolecule,Excited,22,e,1,Ground,23,e,1,644.021039241939,0.00449032283860631,1459.11480596513,815.09376672319,7.33333333333333,40.9555265398466,0,P(23),Excited v=1 22 e - Ground v=0 23 e
LinearMolecule,Excited,21,e,1,Ground,22,e,1,646.969418896297,0.0048425621994427,1394.20589523006,747.236476333762,7,41.4767079066844,0,P(22),Excited v=1 21 e - Ground v=0 22 e
LinearMolecule,Excited,20,e,1,Ground,21,e,1,649.918772288539,0.0051831224287118,1332.23684998899,682.31807770045,6.66666666666666,41.9977054732705,0,P(21),Excited v=1 20 e - Ground v=0 21 e
LinearMolecule,Excited,19,e,1,Ground,20,e,1,652.86904663651,0.00550457728937435,1273.20913925775,620.34009262124,6.33333333333333,42.5176654560096,0,P(20),Excited v=1 19 e - Ground v=0 20 e
LinearMolecule,Excited,18,e,1,Ground,19,e,1,655.820188407163,0.00579901173292138,1217.12416248417,561.303974077006,6,43.0355449293939,0,P(19),Excited v=1 18 e - Ground v=0 19 e
LinearMolecule,Excited,17,e,1,Ground,18,e,1,658.772143309812,0.00605818651272229,1163.98324949172,505.211106181911,5.66666666666666,43.5500579118573,0,P(18),Excited v=1 17 e - Ground v=0 18 e
LinearMolecule,Excited,16,e,1,Ground,17,e,1,661.724856289824,0.00627373306869708,1113.78766042598,452.062804136155,5.33333333333333,44.0596018510773,0,P(17),Excited v=1 16 e - Ground v=0 17 e
LinearMolecule,Excited,15,e,1,Ground,16,e,1,664.67827152279,0.00643737449107768,1066.53858570388,401.860314181093,5,44.5621556568991,0,P(16),Excited v=1 15 e - Ground v=0 16 e
LinearMolecule,Excited,14,e,1,Ground,15,e,1,667.632332409129,0.00654116673773369,1022.23714596584,354.60481355671,4.66666666666666,45.0551355462878,0,P(15),Excited v=1 14 e - Ground v=0 15 e
LinearMolecule,Excited,13,e,1,Ground,14,e,1,670.586981569165,0.0065777527622727,980.884392030633,310.297410461468,4.33333333333333,45.5351868250998,0,P(14),Excited v=1 13 e - Ground v=0 14 e
LinearMolecule,Excited,12,e,1,Ground,13,e,1,673.54216083865,0.00654062090563416,942.481304853152,268.939144014502,4,45.9978757313255,0,P(13),Excited v=1 12 e - Ground v=0 13 e
LinearMolecule,Excited,11,e,1,Ground,12,e,1,676.497811264745,0.00642435790580012,907.028795484935,230.530984220191,3.66666666666666,46.4372205076886,0,P(12),Excited v=1 11 e - Ground v=0 12 e
LinearMolecule,Excited,10,e,1,Ground,11,e,1,679.45387310246,0.00622488627249356,874.527705037539,195.073831935079,3.33333333333333,46.8449545232058,0,P(11),Excited v=1 10 e - Ground v=0 11 e
LinearMolecule,Excited,9,e,1,Ground,10,e,1,682.410285811546,0.00593967562411579,844.978804648718,162.568518837172,3,47.209324006126,0,P(10),Excited v=1  9 e - Ground v=0 10 e
LinearMolecule,Excited,8,e,1,Ground,9,e,1,685.366988053842,0.00556791793841154,818.382795451428,133.015807397586,2.66666666666667,47.5130371270598,0,P(9),Excited v=1  8 e - Ground v=0  9 e
LinearMolecule,Excited,7,e,1,Ground,8,e,1,688.323917691083,0.00511065754527269,794.740308545644,106.416390854561,2.33333333333333,47.7295723591641,0,P(8),Excited v=1  7 e - Ground v=0  8 e
LinearMolecule,Excited,6,e,1,Ground,7,e,1,691.281011783159,0.0045708680783519,774.051904972999,82.7708931898403,2,47.8160791829997,0,P(7),Excited v=1  6 e - Ground v=0  7 e
LinearMolecule,Excited,5,e,1,Ground,6,e,1,694.23820658683,0.00395347045885162,756.318075694237,62.0798691074075,1.66666666666667,47.698534120196,0,P(6),Excited v=1  5 e - Ground v=0  6 e
LinearMolecule,Excited,4,e,1,Ground,5,e,1,697.1954375549,0.00326528823630853,741.539241569489,44.3438040145894,1.33333333333333,47.2371048296259,0,P(5),Excited v=1  4 e - Ground v=0  5 e
LinearMolecule,Excited,3,e,1,Ground,4,e,1,700.152639335844,0.00251493915596335,729.715753341363,29.5631140055188,1,46.1321383910875,0,P(4),Excited v=1  3 e - Ground v=0  4 e
LinearMolecule,Excited,2,e,1,Ground,3,e,1,703.109745773891,0.00171266453632663,720.847891620853,17.7381458469613,0.666666666666667,43.6045215014603,0,P(3),Excited v=1  2 e - Ground v=0  3 e
LinearMolecule,Excited,1,e,1,Ground,2,e,1,706.066689909565,0.000870100784122752,714.935866876068,8.86917696650303,0.333333333333333,36.7974815080866,0,P(2),Excited v=1  1 e - Ground v=0  2 e
LinearMolecule,Excited,1,f,1,Ground,1,e,1,711.994369626922,0.00263820823835794,714.950785070024,2.9564154431018,1,113.196202784503,0,Q(1),Excited v=1  1 f - Ground v=0  1 e
LinearMolecule,Excited,2,f,1,Ground,2,e,1,712.023469236216,0.00435050392061376,720.892646202719,8.86917696650303,1.66666666666667,113.210082528683,0,Q(2),Excited v=1  2 f - Ground v=0  2 e
LinearMolecule,Excited,3,f,1,Ground,3,e,1,712.067116658135,0.00599432587714321,729.805262505096,17.7381458469613,2.33333333333333,113.230903321943,0,Q(3),Excited v=1  3 f - Ground v=0  3 e
LinearMolecule,Excited,4,f,1,Ground,4,e,1,712.125309503526,0.00754481746789004,741.688423509044,29.5631140055188,3,113.258666576872,0,Q(4),Excited v=1  4 f - Ground v=0  4 e
LinearMolecule,Excited,5,f,1,Ground,5,e,1,712.198044588981,0.00897954264984845,756.54184860357,44.3438040145894,3.66666666666667,113.293374177255,0,Q(5),Excited v=1  5 f - Ground v=0  5 e
LinearMolecule,Excited,6,f,1,Ground,6,e,1,712.285317938658,0.0102790231930142,774.365187046065,62.0798691074075,4.33333333333333,113.335028478359,0,Q(6),Excited v=1  6 f - Ground v=0  6 e
LinearMolecule,Excited,7,f,1,Ground,7,e,1,712.387124786559,0.0114271701958797,795.158017976399,82.7708931898403,5,113.383632307299,0,Q(7),Excited v=1  7 f - Ground v=0  7 e
LinearMolecule,Excited,8,f,1,Ground,8,e,1,712.503459579266,0.0124115968956623,818.919850433827,106.416390854561,5.66666666666667,113.439188963468,0,Q(8),Excited v=1  8 f - Ground v=0  8 e
LinearMolecule,Excited,9,f,1,Ground,9,e,1,712.63431597913,0.0132238051037274,845.650123376716,133.015807397586,6.33333333333333,113.501702219051,0,Q(9),Excited v=1  9 f - Ground v=0  9 e
LinearMolecule,Excited,10,f,1,Ground,10,e,1,712.77968686792,0.0138592431229368,875.348205705092,162.568518837172,7,113.571176319611,0,Q(10),Excited v=1 10 f - Ground v=0 10 e
LinearMolecule,Excited,11,f,1,Ground,11,e,1,712.93956435092,0.0143172384267352,908.013396285999,195.073831935079,7.66666666666667,113.647615984758,0,Q(11),Excited v=1 11 f - Ground v=0 11 e
LinearMolecule,Excited,12,f,1,Ground,12,e,1,713.113939761491,0.014600813422273,943.644923981682,230.530984220191,8.33333333333333,113.731026408898,0,Q(12),Excited v=1 12 f - Ground v=0 12 e
LinearMolecule,Excited,13,f,1,Ground,13,e,1,713.302803666082,0.0147163970376769,982.241947680585,268.939144014502,9,113.821413262062,0,Q(13),Excited v=1 13 f - Ground v=0 13 e
LinearMolecule,Excited,14,f,1,Ground,14,e,1,713.5061458697,0.0146734484696853,1023.80355633117,310.297410461468,9.66666666666666,113.918782690824,0,Q(14),Excited v=1 14 f - Ground v=0 14 e
LinearMolecule,Excited,15,f,1,Ground,15,e,1,713.723955421834,0.0144840120621246,1068.32876897854,354.60481355671,10.3333333333333,114.023141319301,0,Q(15),Excited v=1 15 f - Ground v=0 15 e
LinearMolecule,Excited,16,f,1,Ground,16,e,1,713.956220622837,0.0141622238803709,1115.81653480393,401.860314181093,11,114.134496250258,0,Q(16),Excited v=1 16 f - Ground v=0 16 e
LinearMolecule,Excited,17,f,1,Ground,17,e,1,714.202929030761,0.0137237910877748,1166.26573316692,452.062804136155,11.6666666666667,114.252855066283,0,Q(17),Excited v=1 17 f - Ground v=0 17 e
LinearMolecule,Excited,18,f,1,Ground,18,e,1,714.464067468651,0.0131854647629838,1219.67517365056,505.211106181911,12.3333333333333,114.378225831085,0,Q(18),Excited v=1 18 f - Ground v=0 18 e
LinearMolecule,Excited,19,f,1,Ground,19,e,1,714.739622032291,0.0125645254213297,1276.0435961093,561.303974077006,13,114.510617090871,0,Q(19),Excited v=1 19 f - Ground v=0 19 e
LinearMolecule,Excited,1,e,1,Ground,0,e,1,714.935866876068,0.00176818201532986,714.935866876068,0,0.666666666666667,76.4033106320836,0,R(0),Excited v=1  1 e - Ground v=0  0 e
LinearMolecule,Excited,20,f,1,Ground,20,e,1,715.029578098408,0.0118782983612815,1335.36967071965,620.34009262124,13.6666666666667,114.650037875839,0,Q(20),Excited v=1 20 f - Ground v=0 20 e
LinearMolecule,Excited,21,f,1,Ground,21,e,1,715.333920333332,0.0111437132217304,1397.65199803378,682.31807770045,14.3333333333333,114.796497701778,0,Q(21),Excited v=1 21 f - Ground v=0 21 e
LinearMolecule,Excited,22,f,1,Ground,22,e,1,715.652632702112,0.0103769189988058,1462.88910903587,747.236476333762,15,114.95000657177,0,Q(22),Excited v=1 22 f - Ground v=0 22 e
LinearMolecule,Excited,23,f,1,Ground,23,e,1,715.985698478087,0.00959296242793167,1531.07946520128,815.09376672319,15.6666666666667,115.110574978021,0,Q(23),Excited v=1 23 f - Ground v=0 23 e
LinearMolecule,Excited,24,f,1,Ground,24,e,1,716.333100252907,0.00880553427623547,1602.22145855852,885.888358305618,16.3333333333333,115.278213903807,0,Q(24),Excited v=1 24 f - Ground v=0 24 e
